x_m,y_m,height_m,estimated_friction,scm_sinkage_demo_m,source
-2.700,0.300,0.09032,0.5555,0.00045,pychrono
-2.700,0.400,0.08380,0.5601,0.00037,pychrono
-2.700,0.500,0.07565,0.5660,0.00029,pychrono
-2.700,0.600,0.06602,0.5728,0.00021,pychrono
-2.700,0.700,0.05510,0.5806,0.00014,pychrono
-2.700,0.800,0.04309,0.5892,0.00009,pychrono
-2.700,0.900,0.03025,0.5984,0.00006,pychrono
-2.700,1.000,0.01681,0.6080,0.00003,pychrono
-2.700,1.100,0.00305,0.6178,0.00002,pychrono
-2.700,1.200,-0.01078,0.6123,0.00001,pychrono
-2.700,1.300,-0.02440,0.6026,0.00000,pychrono
-2.700,1.400,-0.03753,0.5932,0.00000,pychrono
-2.700,1.500,-0.04994,0.5843,0.00000,pychrono
-2.700,1.600,-0.06136,0.5762,0.00000,pychrono
-2.700,1.700,-0.07159,0.5689,0.00000,pychrono
-2.700,1.800,-0.08041,0.5626,0.00000,pychrono
-2.700,1.900,-0.08766,0.5574,0.00000,pychrono
-2.700,2.000,-0.09320,0.5534,0.00000,pychrono
-2.600,-2.000,-0.09417,0.5527,0.00000,pychrono
-2.600,-1.900,-0.08858,0.5567,0.00000,pychrono
-2.600,-1.800,-0.08125,0.5620,0.00000,pychrono
-2.600,-1.700,-0.07234,0.5683,0.00000,pychrono
-2.600,-1.600,-0.06200,0.5757,0.00000,pychrono
-2.600,-1.500,-0.05046,0.5840,0.00000,pychrono
-2.600,-1.400,-0.03793,0.5929,0.00000,pychrono
-2.600,-1.300,-0.02465,0.6024,0.00001,pychrono
-2.600,-1.200,-0.01089,0.6122,0.00001,pychrono
-2.600,-1.100,0.00308,0.6178,0.00003,pychrono
-2.600,-1.000,0.01699,0.6079,0.00005,pychrono
-2.600,-0.900,0.03057,0.5982,0.00008,pychrono
-2.600,-0.800,0.04355,0.5889,0.00014,pychrono
-2.600,-0.700,0.05567,0.5802,0.00021,pychrono
-2.600,-0.600,0.06671,0.5723,0.00031,pychrono
-2.600,-0.500,0.07644,0.5654,0.00042,pychrono
-2.600,-0.400,0.08468,0.5595,0.00054,pychrono
-2.600,-0.300,0.09126,0.5548,0.00066,pychrono
-2.600,-0.200,0.09606,0.5514,0.00077,pychrono
-2.600,-0.100,0.09897,0.5493,0.00084,pychrono
-2.600,0.000,0.09995,0.5486,0.00086,pychrono
-2.600,0.100,0.09897,0.5493,0.00084,pychrono
-2.600,0.200,0.09606,0.5514,0.00077,pychrono
-2.600,0.300,0.09126,0.5548,0.00066,pychrono
-2.600,0.400,0.08468,0.5595,0.00054,pychrono
-2.600,0.500,0.07644,0.5654,0.00042,pychrono
-2.600,0.600,0.06671,0.5723,0.00031,pychrono
-2.600,0.700,0.05567,0.5802,0.00021,pychrono
-2.600,0.800,0.04355,0.5889,0.00014,pychrono
-2.600,0.900,0.03057,0.5982,0.00008,pychrono
-2.600,1.000,0.01699,0.6079,0.00005,pychrono
-2.600,1.100,0.00308,0.6178,0.00003,pychrono
-2.600,1.200,-0.01089,0.6122,0.00001,pychrono
-2.600,1.300,-0.02465,0.6024,0.00001,pychrono
-2.600,1.400,-0.03793,0.5929,0.00000,pychrono
-2.600,1.500,-0.05046,0.5840,0.00000,pychrono
-2.600,1.600,-0.06200,0.5757,0.00000,pychrono
-2.600,1.700,-0.07234,0.5683,0.00000,pychrono
-2.600,1.800,-0.08125,0.5620,0.00000,pychrono
-2.600,1.900,-0.08858,0.5567,0.00000,pychrono
-2.600,2.000,-0.09417,0.5527,0.00000,pychrono
-2.500,-2.000,-0.09211,0.5542,0.00000,pychrono
-2.500,-1.900,-0.08663,0.5581,0.00000,pychrono
-2.500,-1.800,-0.07947,0.5632,0.00000,pychrono
-2.500,-1.700,-0.07075,0.5695,0.00000,pychrono
-2.500,-1.600,-0.06064,0.5767,0.00000,pychrono
-2.500,-1.500,-0.04935,0.5847,0.00000,pychrono
-2.500,-1.400,-0.03709,0.5935,0.00000,pychrono
-2.500,-1.300,-0.02411,0.6028,0.00001,pychrono
-2.500,-1.200,-0.01065,0.6124,0.00002,pychrono
-2.500,-1.100,0.00301,0.6179,0.00004,pychrono
-2.500,-1.000,0.01661,0.6081,0.00007,pychrono
-2.500,-0.900,0.02989,0.5986,0.00012,pychrono
-2.500,-0.800,0.04259,0.5896,0.00020,pychrono
-2.500,-0.700,0.05445,0.5811,0.00031,pychrono
-2.500,-0.600,0.06525,0.5734,0.00044,pychrono
-2.500,-0.500,0.07477,0.5666,0.00061,pychrono
-2.500,-0.400,0.08282,0.5608,0.00079,pychrono
-2.500,-0.300,0.08926,0.5562,0.00096,pychrono
-2.500,-0.200,0.09395,0.5529,0.00111,pychrono
