schema_id,run_id,artifact_path,artifact_type,producer_script,producer_hash,artifact_hash,image_width_px,image_height_px,render_backend,camera_or_layout,camera_eye,camera_target,camera_fov_deg,visible_component_ids,source,evidence_level
visual.render_manifest.v1,component_catalog_fallback_bundle,images/graphs/terrain_height_sinkage_profile.png,graph_png,code/environment_terrain/generate_terrain_height_sinkage_profile_graph.py,a8652760bf8ff1e82b2fbd3d16e9d90627e177e0f747f3f1d54ce8ee95f2dc7e,b40aa96b49d42e41cbf9de5e7c51abe5324b8ceab0b45974abd516d119cf2a9a,1391,852,matplotlib Agg graph,see producer script,,,,terrain.interface;terrain.core_ground;terrain.material_region;environment.field,fallback_pychrono_unavailable,fallback_or_csv_derived_graph
visual.render_manifest.v1,component_catalog_fallback_bundle,images/mermaid_rendered/2_2_mermaid_01.png,mermaid_png,code/common/render_mermaid_01.py,1f2927666e7d4099931693431a61d88c99e62f4f57b8e162612ebde22d1a2f7f,82fd53a87bc0398ee843f16c412feba2c3286b7183fb5c8f40219c23dc46df7a,1568,504,mmdc or local matplotlib Mermaid fallback,see producer script,,,,report.flow_diagram,rendered_mermaid,rendered_mermaid
visual.render_manifest.v1,component_catalog_fallback_bundle,images/mermaid_rendered/2_2_mermaid_02.png,mermaid_png,code/common/render_mermaid_02.py,67ad6d653c88a0d0a2f5542f87cfbf533514e624493746223e0ebf5ff533e36a,b40f91a459f6e7f1faf4aed8715d053403688834776fc78bed3a6c3afb7e9f86,2239,1123,mmdc or local matplotlib Mermaid fallback,see producer script,,,,report.flow_diagram,rendered_mermaid,rendered_mermaid
visual.render_manifest.v1,component_catalog_fallback_bundle,images/mermaid_rendered/2_2_mermaid_03.png,mermaid_png,code/common/render_mermaid_03.py,f9ebd7ec2bc750ec16a34ac21d804790ef4bdc4065a1cbf484801ab40127ca52,bb9e5cf0ace9ca444807477c8882dc556ca1675ef06c108a1c066e1f2cdab376,1568,1104,mmdc or local matplotlib Mermaid fallback,see producer script,,,,report.flow_diagram,rendered_mermaid,rendered_mermaid
visual.render_manifest.v1,component_catalog_fallback_bundle,images/mermaid_rendered/2_2_mermaid_04.png,mermaid_png,code/common/render_mermaid_04.py,741f3b21a7865e1bb1d48590b0057eb072dfb1c6465648c0b433cbfd97106edc,f34b7d2546f7434cc9686ffd2984975fd3b4ab7993d836c524220a30feceb0be,1357,997,mmdc or local matplotlib Mermaid fallback,see producer script,,,,report.flow_diagram,rendered_mermaid,rendered_mermaid
visual.render_manifest.v1,component_catalog_fallback_bundle,images/mermaid_rendered/2_2_mermaid_05.png,mermaid_png,code/common/render_mermaid_05.py,e37c5eade19f1642efbc773faa842c68ee0ccb6703ad306538cde0064743069f,71ee7107a8a1627a90be546f783d5ce6d2129a332ef0b8642884f0027c00771c,1501,925,mmdc or local matplotlib Mermaid fallback,see producer script,,,,report.flow_diagram,rendered_mermaid,rendered_mermaid
visual.render_manifest.v1,component_catalog_fallback_bundle,images/mermaid_rendered/2_2_mermaid_06.png,mermaid_png,code/common/render_mermaid_06.py,74cfcae003d84f2d6d705530598382358d880eb2fca1d16d2e0d979033a47954,31d2310b24d3065d3fbfecd0124f18f02f1249e411b59d02369278462e311149,2175,1094,mmdc or local matplotlib Mermaid fallback,see producer script,,,,report.flow_diagram,rendered_mermaid,rendered_mermaid
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/chrono_builtin_robot_rover_assets.png,render_png,code/common/generate_chrono_builtin_robot_rover_assets_render.py,8eb21f16abb7990a077de72c48380e6b20acc2646719b1c327e8b42dd6293bf5,0efb55ba2a39ba6fd9d0ab868d412756efc5230e93e7f74046643f376ed1afc9,1496,528,pychrono.vsg3d ChVisualSystemVSG,composite panel of VSG captures; see robot_vsg_capture_manifest captures,per_capture,per_capture,46.0,vehicle.chassis;vehicle.robot_assets;vehicle.steering;vehicle.suspension;vehicle.wheel;visual.runtime,pychrono_vsg_capture,pychrono_vsg_capture
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/chrono_builtin_tracked_vehicle_assets.png,render_png,code/common/generate_chrono_builtin_tracked_vehicle_assets_render.py,53355620f4b8440029f87fb703309f8b4d1862d0ff8b7286a8f5b2d710c33e2c,4469f44d648be3060309d30bae437852094c1888c5e55049944fd2898a47e36d,1280,800,pychrono.vsg3d ChVisualSystemVSG visual asset capture,pychrono.vsg3d visual asset camera,"3.800,-6.200,2.600","-2.000,0.000,0.650",42.0,vehicle.track_assembly;vehicle.track_shoe;vehicle.sprocket;vehicle.road_wheel;visual.runtime,pychrono_vsg_capture,pychrono_vsg_capture
visual.render_manifest.v1,component_catalog_fallback_bundle,images/renders/chrono_builtin_wheeled_vehicle_assets.png,render_png,code/common/generate_chrono_builtin_wheeled_vehicle_assets_render.py,cd55a0dc9ade44c22954f25268d1557cfc2f3e3c83b3b6ec50be58d3fc09d99a,1bc082b30236b043d7cdefe01a87b2aba025c281f7eeecebc57f48ab0d64c8ff,1280,800,pychrono.vsg3d ChVisualSystemVSG visual asset capture,pychrono.vsg3d visual asset camera,"5.000,-6.000,2.600","0.000,0.000,0.450",42.0,vehicle.robot_assets;vehicle.chassis;vehicle.wheel;vehicle.tire_model;visual.runtime,pychrono_vsg_capture,pychrono_vsg_capture
