schema_id,run_id,artifact_path,artifact_type,writer_backend,output_mode,producer_script,artifact_hash,row_count,source_schema_id,source,unit_policy,evidence_level
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/terrain_patch_manifest.csv,csv,python_csv,row_stream,code/environment_terrain/generate_environment_terrain_components.py,6a5e62baef01ad3209f5a66724675a30853f2e71b2c297cedbd74f469148c710,3,terrain.patch_manifest.v1,fallback_terrain_schema_only_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/terrain_query_probe.csv,csv,python_csv,row_stream,code/environment_terrain/generate_environment_terrain_components.py,a248090eaf36ec2f2df676d4b5c3db328e125085f3204ee689975adfc10ee322,2501,terrain.query_probe.v1,fallback_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/terrain_surface_probe.csv,csv,python_csv,row_stream,code/environment_terrain/generate_environment_terrain_components.py,c0c2172739b2c9abd4b62efeda40db798e42b14a2394d62f6c6e920b908dabc2,2501,terrain.surface_probe.v1,fallback_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/vehicle_axle_wheel_map.csv,csv,python_csv,row_stream,code/rover_vehicle/generate_rover_vehicle_components.py,79c261f3d50ff6c7339023adfdba7f0ec3c380b4d68565e8eb1aafed692f482e,4,vehicle.axle_wheel_map.v1,fallback_vehicle_schema_only_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/vehicle_frame_hardpoint_map.csv,csv,python_csv,row_stream,code/rover_vehicle/generate_rover_vehicle_components.py,3d6ae2a822382ef01711df1784f6a874658899985fdb51b0f84cdfb4b7f68227,7,vehicle.frame_hardpoint_map.v1,fallback_vehicle_schema_only_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/vehicle_subsystem_probe.csv,csv,python_csv,row_stream,code/rover_vehicle/generate_rover_vehicle_components.py,2598936e022b9e18482353127b1e359c0cc4330f57a17f60bf5cb5e1f798ebed,101,vehicle.subsystem_probe.v1,fallback_vehicle_schema_only_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/json/collision_backend_comparison.json,json,python_json,document,code/collision_contact/generate_collision_contact_components.py,a9f6199de57534cafe82ae92fd267829ba67ec124ef70b9936fab26d01dd8434,1,collision.backend_comparison.v1,deterministic_contact_probe_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/json/collision_family_filter_map.json,json,python_json,document,code/collision_contact/generate_collision_contact_components.py,2ff7cad1faec2057bb879a70c149b4705eb63b1ee9eee69f873027c1fbc0d651,2,collision.family_filter_map.v1,deterministic_contact_probe_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/json/collision_model_registry.json,json,python_json,document,code/collision_contact/generate_collision_contact_components.py,473a0a7dbe35ae2eb74b14f5593b7738270ca243a30d590957da9ddaae2f3481,2,collision.model_registry.v1,deterministic_contact_probe_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/json/collision_shape_manifest.json,json,python_json,document,code/collision_contact/generate_collision_contact_components.py,07f7ec96ad872f2e15adb6b9134f9baa70b7582399b517c305a9992f56ef8d21,3,collision.shape_manifest.v1,deterministic_contact_probe_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/json/collision_system_manifest.json,json,python_json,document,code/collision_contact/generate_collision_contact_components.py,9d4ae7a9360d6ab21202f951f4eb86d83e92617df631d7b792418e9791fae811,1,collision.system_manifest.v1,deterministic_contact_probe_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/json/contact_callback_manifest.json,json,python_json,document,code/collision_contact/generate_collision_contact_components.py,2cfd1e336e3f45e2e4a814bda415a3a392eec49bfe838513c5fb5341189c8203,2,collision.contact_callback_manifest.v1,deterministic_contact_probe_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/json/contact_container_manifest.json,json,python_json,document,code/collision_contact/generate_collision_contact_components.py,dbbfd99130a402ef8adf12fbcaa205116046b1ffed0e1aac68f3331fa02dfb49,1,collision.contact_container_manifest.v1,deterministic_contact_probe_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/json/contact_frame_debug_manifest.json,json,python_json,document,code/collision_contact/generate_collision_contact_components.py,36b90728b0ac3568c397ee775e71cb71c40a9f211d65ffe08e4fd31e57204934,1,collision.contact_frame_debug_manifest.v1,deterministic_contact_probe_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/json/contact_material_manifest.json,json,python_json,document,code/collision_contact/generate_collision_contact_components.py,1bc497dcee38a07554dd9a5de14dd5024b3edcba42b4877e6ef4c65c5e23e46e,1,collision.contact_material_manifest.v1,deterministic_contact_probe_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/json/contact_pair_material_policy.json,json,python_json,document,code/collision_contact/generate_collision_contact_components.py,806273ff7156b80c74a7fbb7eabc549746bd8f638c823dc548a7cd5a48d4ce33,1,collision.contact_pair_material_policy.v1,deterministic_contact_probe_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
